2023-04-26 20:29:29.765 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-26 20:29:29.872 [main] INFO  top.lilong.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 29616 (E:\nangong\大三\practise\api-boot2\api-server\target\classes started by 李龙 in E:\nangong\大三\practise\api-boot2)
2023-04-26 20:29:29.876 [main] INFO  top.lilong.ServerApplication - The following 1 profile is active: "dev"
2023-04-26 20:29:31.724 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-26 20:29:31.729 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-26 20:29:31.801 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 42 ms. Found 0 Redis repository interfaces.
2023-04-26 20:29:33.567 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-26 20:29:33.586 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-26 20:29:33.587 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-26 20:29:33.587 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-26 20:29:33.877 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-26 20:29:33.877 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3873 ms
2023-04-26 20:29:36.561 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@45451333, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6942ee48, org.springframework.security.web.context.SecurityContextHolderFilter@24cbf894, org.springframework.security.web.header.HeaderWriterFilter@7adff6cb, org.springframework.security.web.authentication.logout.LogoutFilter@8f09a02, top.lilong.security.filter.AuthenticationTokenFilter@4afcae7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@434d001d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@36453773, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3f033664, org.springframework.security.web.session.SessionManagementFilter@185a0811, org.springframework.security.web.access.ExceptionTranslationFilter@b68932b, org.springframework.security.web.access.intercept.AuthorizationFilter@719bb60d]
2023-04-26 20:29:36.970 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-26 20:29:36.992 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-26 20:29:37.000 [main] INFO  top.lilong.ServerApplication - Started ServerApplication in 8.186 seconds (process running for 9.956)
2023-04-26 20:30:06.916 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-26 20:30:06.916 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-26 20:30:06.920 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2023-04-26 20:30:07.842 [http-nio-8080-exec-4] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-04-26 20:30:08.008 [http-nio-8080-exec-4] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@7c8bdfc5
2023-04-26 20:30:08.010 [http-nio-8080-exec-4] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-04-26 20:35:39.785 [SpringApplicationShutdownHook] INFO  c.a.c.s.boot.oss.context.OssApplicationListener - 0 OSSClients will be shutdown soon
2023-04-26 20:35:39.842 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
